Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.50 B,10.07,8.04,0.54,,0.63%,6.68%,1.57%,
12M 2009,3.85 B,12.02,9.98,0.74,,0.63%,7.35%,0.97%,
12M 2010,4.10 B,26.07,5.33,0.78,,1.04%,14.38%,1.46%,
12M 2011,6.55 B,28.62,4.51,0.99,,1.59%,15.46%,2.10%,
12M 2012,6.60 B,31.13,3.76,0.69,,1.43%,13.99%,1.80%,
12M 2013,6.63 B,39.61,3.16,0.52,,1.37%,15.97%,1.87%,
12M 2014,7.14 B,14.81,8.10,0.42,,0.49%,6.01%,0.51%,
12M 2015,7.14 B,13.18,7.97,0.37,,0.40%,4.45%,0.42%,
12M 2016,7.89 B,12.72,8.41,0.39,,0.39%,3.82%,0.35%,
12M 2017,8.67 B,15.69,15.04,0.89,,0.47%,4.78%,0.50%,
12M 2018,8.67 B,9.12,20.83,0.72,11.67 B,0.26%,2.82%,-0.01%,
12M 2019,8.95 B,-1.54,-54.55,0.34,(0.60 B),-0.05%,-0.46%,-0.06%,
12M 2020,8.95 B,-28.17,-4.05,0.57,(216.46 B),-0.96%,-9.54%,-0.87%,
12M 2021,10.49 B,-11.35,-17.97,1.33,(66.61 B),-0.48%,-3.95%,-0.34%,
12M 2022,15.85 B,14.27,7.50,0.99,429.37 B,0.87%,6.11%,1.63%,
12M 2023,15.85 B,6.42,15.42,0.85,197.67 B,0.34%,2.66%,0.63%,
12M 2024,15.85 B,7.44,11.96,0.68,320.44 B,0.38%,3.00%,0.97%,
