Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,6.05 B,0.50,0.00,0.00,,0.36%,0.49%,-0.44%,-3.89
12M 2016,11.55 B,2.92,93.15,1.28,,0.90%,2.49%,2.08%,6.10
12M 2017,11.57 B,7.11,30.52,0.41,,1.17%,5.51%,1.48%,54.05
12M 2018,54.48 B,2.28,135.96,2.05,137.03 B,0.92%,2.06%,1.31%,3176.70
12M 2019,54.48 B,1.12,373.21,1.84,176.74 B,0.17%,0.96%,0.70%,1145.32
12M 2020,54.48 B,1.15,326.96,1.74,108.60 B,0.19%,0.95%,0.14%,682.71
12M 2021,54.48 B,0.36,1472.22,1.86,137.08 B,0.05%,0.28%,0.17%,6.25
12M 2022,54.48 B,0.51,1411.76,3.53,229.39 B,0.08%,0.39%,0.41%,1.86
12M 2023,54.48 B,1.52,407.89,4.45,263.99 B,0.27%,1.19%,0.61%,
12M 2024,54.48 B,2.03,278.33,4.55,324.14 B,0.35%,1.50%,0.85%,
