Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.79 B,-28.72,-1.08,0.02,,-1.70%,-12.58%,1.51%,0.19
12M 2009,6.79 B,38.41,0.96,0.02,,2.20%,16.43%,9.30%,1.97
12M 2010,7.73 B,-13.73,-21.85,0.24,,-0.76%,-2.19%,-1.18%,-5.83
12M 2011,7.73 B,2.63,57.41,0.11,,0.14%,0.39%,-0.21%,
12M 2012,7.73 B,3.71,55.26,0.13,,0.20%,0.58%,2.27%,0.74
12M 2013,7.73 B,183.12,1.97,0.19,,6.99%,20.06%,16.19%,5.52
12M 2014,10.06 B,188.27,4.44,0.49,,8.31%,22.41%,-2.92%,-1.04
12M 2015,10.06 B,-119.74,-2.15,0.14,,-5.30%,-16.64%,-6.00%,-1.50
12M 2016,10.06 B,24.21,14.13,0.19,,1.01%,3.17%,6.70%,1.61
12M 2017,10.06 B,-123.89,-1.15,0.08,,-5.45%,-19.36%,-10.51%,-2.19
12M 2018,14.64 B,-83.46,-0.89,0.07,526.24 B,-7.12%,-22.12%,-1.01%,-0.25
12M 2019,14.64 B,-59.16,-1.44,0.10,221.45 B,-5.67%,-18.32%,-2.75%,-0.59
12M 2020,14.64 B,-54.17,-1.31,0.10,(185.68 B),-5.06%,-23.55%,-6.68%,-0.88
12M 2021,14.64 B,13.75,26.91,0.53,975.96 B,1.36%,5.19%,1.52%,0.24
12M 2022,15.68 B,9.64,11.62,0.16,605.55 B,1.16%,3.50%,-0.52%,-0.12
12M 2023,15.68 B,10.97,6.65,0.10,806.12 B,1.31%,3.92%,1.76%,0.45
12M 2024,15.68 B,10.15,9.36,0.13,790.54 B,1.21%,3.47%,1.30%,0.32
