Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,767 B,(570 B),197 B,29.01
12M 2009,"1,247 B",(543 B),704 B,103.79
12M 2010,592 B,(446 B),147 B,19.00
12M 2011,323 B,(542 B),(218 B),-28.24
12M 2012,620 B,(670 B),(50 B),-6.53
12M 2013,972 B,(692 B),281 B,36.31
12M 2014,(338 B),"(1,083 B)","(1,421 B)",-141.21
12M 2015,(229 B),(894 B),"(1,122 B)",-111.52
12M 2016,788 B,"(1,065 B)",(278 B),-27.58
12M 2017,(513 B),(315 B),(828 B),-82.22
12M 2018,90 B,(350 B),(261 B),-17.83
12M 2019,45 B,(382 B),(337 B),-23.04
12M 2020,924 B,(131 B),793 B,54.16
12M 2021,296 B,(118 B),177 B,12.12
12M 2022,243 B,(266 B),(22 B),-1.41
12M 2023,979 B,(670 B),309 B,19.71
12M 2024,456 B,(224 B),231 B,14.74
