Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,102 B,(3 B),99 B,97.27
12M 2009,133 B,(143 B),(10 B),-5.80
12M 2010,(46 B),(274 B),(321 B),-181.60
12M 2011,73 B,(299 B),(226 B),-128.20
12M 2012,151 B,(128 B),23 B,13.19
12M 2013,2 B,(250 B),(249 B),-140.78
12M 2014,333 B,(254 B),78 B,44.30
12M 2015,204 B,(36 B),169 B,95.44
12M 2016,236 B,(20 B),216 B,122.08
12M 2017,124 B,(21 B),103 B,58.43
12M 2018,5 B,(30 B),(25 B),-13.98
12M 2019,133 B,,94 B,53.50
12M 2020,150 B,(14 B),136 B,76.85
12M 2021,211 B,,172 B,97.43
12M 2022,518 B,(46 B),472 B,267.12
12M 2023,371 B,(135 B),236 B,99.44
12M 2024,377 B,(85 B),293 B,123.28
