Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.02 B,126.47,1.55,0.19,,20.00%,101.77%,118.76%,1665.04
12M 2009,1.77 B,39.64,13.62,0.72,,6.96%,50.07%,30.24%,15.59
12M 2010,1.77 B,33.67,10.99,0.47,,4.62%,37.77%,12.70%,3.36
12M 2011,1.77 B,-11.01,-22.71,0.37,,-1.25%,-14.11%,1.82%,0.52
12M 2012,1.77 B,-41.76,-4.79,0.20,,-3.45%,-58.35%,6.91%,0.62
12M 2013,1.77 B,-12.81,-12.41,0.12,,-0.81%,-16.88%,11.52%,0.93
12M 2014,1.77 B,-38.80,-2.86,0.09,,-2.28%,-95.30%,3.64%,0.32
12M 2015,1.77 B,-78.88,-1.18,0.08,,-5.39%,308.43%,-16.48%,-0.99
12M 2016,1.77 B,-32.05,-1.56,0.07,,-2.51%,51.03%,-8.02%,-0.39
12M 2017,1.77 B,90.69,4.28,0.49,,6.30%,408.70%,1.40%,0.10
12M 2018,1.77 B,-43.31,-3.86,0.15,127.59 B,-2.81%,466.11%,3.27%,0.30
12M 2019,1.77 B,1.08,181.48,0.15,248.71 B,0.07%,-3.64%,11.96%,1.07
12M 2020,1.77 B,-53.16,-1.94,0.12,161.72 B,-3.89%,63.93%,5.54%,0.50
12M 2021,1.77 B,-46.64,-1.84,0.10,189.59 B,-3.47%,41.30%,8.47%,0.63
12M 2022,1.77 B,59.00,1.78,0.08,549.90 B,3.75%,-85.58%,44.06%,3.25
12M 2023,2.37 B,9.27,10.03,0.08,418.14 B,0.77%,13.42%,25.30%,2.87
12M 2024,2.37 B,68.70,1.46,0.08,734.47 B,5.73%,49.46%,35.24%,8.12
