Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.18 B,115.68,2.90,0.35,,29.53%,37.70%,88.00%,
12M 2009,0.18 B,52.16,5.29,0.37,,13.45%,14.53%,27.62%,
12M 2010,0.18 B,46.63,7.29,0.48,,9.34%,11.47%,16.59%,
12M 2011,0.18 B,106.37,3.16,0.39,,16.13%,20.78%,23.44%,
12M 2012,0.18 B,137.56,5.09,0.81,,17.07%,21.88%,24.27%,
12M 2013,0.18 B,143.79,3.84,0.88,,14.69%,18.65%,7.31%,
12M 2014,0.18 B,42.39,12.74,1.01,,4.38%,5.20%,3.60%,
12M 2015,0.18 B,35.13,12.41,1.16,,3.45%,4.24%,-3.18%,
12M 2016,0.72 B,-8.30,-15.18,1.45,,-3.37%,-4.16%,-4.70%,
12M 2017,0.72 B,15.79,7.16,0.92,,6.20%,7.35%,8.05%,
12M 2018,0.72 B,38.63,5.95,1.41,24.33 B,12.80%,15.19%,13.47%,
12M 2019,0.72 B,1.90,110.53,1.24,6.64 B,0.59%,0.74%,2.89%,5.62
12M 2020,0.72 B,6.23,48.15,1.90,0.20 B,1.91%,2.38%,-0.41%,
12M 2021,0.72 B,13.38,32.14,2.75,11.50 B,3.56%,4.87%,5.27%,15.81
12M 2022,0.72 B,55.42,7.80,2.04,11.43 B,11.58%,16.75%,4.67%,16.90
12M 2023,0.72 B,24.35,18.23,2.29,7.97 B,4.85%,6.81%,2.76%,
12M 2024,0.72 B,41.13,10.80,2.50,2.19 B,7.46%,10.59%,0.56%,
