Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.34 B,3.75,18.93,0.17,,1.79%,8.50%,8.47%,1.43
12M 2009,0.34 B,-84.82,-0.21,0.09,,-172.83%,213.96%,-904.47%,-30.45
12M 2010,0.34 B,-32.90,-0.55,0.44,,-63.07%,45.62%,64.07%,-193.29
12M 2011,0.34 B,-37.40,-0.48,0.92,,-121.30%,34.15%,49.40%,-217.89
12M 2012,0.34 B,-34.55,-1.22,2.57,,-172.31%,23.98%,28.32%,-488.64
12M 2013,0.34 B,-16.61,-2.53,49.04,,-111.18%,10.34%,11.74%,-922.60
12M 2014,0.34 B,-13.98,-5.08,196.50,,-67.90%,8.00%,9.57%,
12M 2015,0.34 B,-13.82,-5.14,243.37,,-17.51%,7.31%,9.00%,
12M 2016,0.34 B,-9.23,-7.69,515.36,,-9.04%,4.66%,14.75%,
12M 2017,40.94 B,1.46,108.22,22.82,,1.01%,1.26%,1.15%,
12M 2018,40.94 B,2.74,51.09,11.25,131.91 B,1.72%,2.31%,2.20%,12.89
