Kode,12M 2006,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022,12M 2023,12M 2024
AALI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ABBA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ABDA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ABMM,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ACES,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ACST,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ADES,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADHI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADMF,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADMG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADRO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AGII,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
AGRO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AGRS,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
AHAP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AIMS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AISA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AKKU,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AKPI,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
AKRA,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AKSI,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
ALDO,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALKA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
ALMI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
ALTO,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
AMAG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AMFG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AMIN,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
AMRT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ANJT,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ANTM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
APEX,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
APIC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
APII,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
APLI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
APLN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ARGO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ARII,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ARNA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ARTA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ARTI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
ARTO,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
ASBI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASDM,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
