No;Kode;Nama Perusahaan;Tanggal Pencatatan;Saham;Papan Pencatatan
1;AALI;Astra Agro Lestari Tbk.;09/12/1997;1924688333;Utama
2;ABBA;Mahaka Media Tbk.;03/04/2002;3935892857;Pemantauan Khusus
3;ABDA;Asuransi Bina Dana Arta Tbk.;06/07/1989;620806680;Pemantauan Khusus
4;ABMM;ABM Investama Tbk.;06/12/2011;2753165000;Utama
5;ACES;Aspirasi Hidup Indonesia Tbk.;06/11/2007;17120389700;Utama
6;ACST;Acset Indonusa Tbk.;24/06/2013;17675160000;Pemantauan Khusus
7;ADES;Akasha Wira International Tbk.;13/06/1994;589896800;Pengembangan
8;ADHI;Adhi Karya (Persero) Tbk.;18/03/2004;8407608979;Utama
9;ADMF;Adira Dinamika Multi Finance T;31/03/2004;1000000000;Pengembangan
10;ADMG;Polychem Indonesia Tbk;20/10/1993;3889179559;Pengembangan
11;ADRO;Alamtri Resources Indonesia Tb;16/07/2008;30758665900;Utama
12;AGII;Samator Indo Gas Tbk.;28/09/2016;3066660000;Pengembangan
13;AGRO;Bank Raya Indonesia Tbk.;08/08/2003;24493093216;Utama
14;AGRS;Bank IBK Indonesia Tbk.;22/12/2014;47367057874;Pengembangan
15;AHAP;Asuransi Harta Aman Pratama Tb;14/09/1990;4900000000;Pengembangan
16;AIMS;Artha Mahiya Investama Tbk.;20/07/2001;220000000;Pemantauan Khusus
17;AISA;FKS Food Sejahtera Tbk.;11/06/1997;9311800000;Utama
18;AKKU;Anugerah Kagum Karya Utama Tbk;01/11/2004;6449463636;Pemantauan Khusus
19;AKPI;Argha Karya Prima Industry Tbk;18/12/1992;612248000;Pengembangan
20;AKRA;AKR Corporindo Tbk.;03/10/1994;20073474600;Utama
21;AKSI;Mineral Sumberdaya Mandiri Tbk;13/07/2001;720000000;Pengembangan
22;ALDO;Alkindo Naratama Tbk.;12/07/2011;2700713744;Pengembangan
23;ALKA;Alakasa Industrindo Tbk;12/07/1990;507665055;Pengembangan
24;ALMI;Alumindo Light Metal Industry ;02/01/1997;3816000000;Pemantauan Khusus
25;ALTO;Tri Banyan Tirta Tbk.;10/07/2012;2191870558;Pemantauan Khusus
26;AMAG;Asuransi Multi Artha Guna Tbk.;23/12/2005;5001552516;Pengembangan
27;AMFG;Asahimas Flat Glass Tbk.;08/11/1995;434000000;Utama
28;AMIN;Ateliers Mecaniques D Indonesi;10/12/2015;1080000000;Pengembangan
29;AMRT;Sumber Alfaria Trijaya Tbk.;15/01/2009;41524501700;Utama
30;ANJT;Austindo Nusantara Jaya Tbk.;08/05/2013;3354175000;Pengembangan
31;ANTM;Aneka Tambang Tbk.;27/11/1997;24030764725;Utama
32;APEX;Apexindo Pratama Duta Tbk.;05/06/2013;3546466661;Pengembangan
33;APIC;Pacific Strategic Financial Tb;18/12/2002;11766313488;Pengembangan
34;APII;Arita Prima Indonesia Tbk.;29/10/2013;1075760000;Pengembangan
35;APLI;Asiaplast Industries Tbk.;01/05/2000;1362671400;Pengembangan
36;APLN;Agung Podomoro Land Tbk.;11/11/2010;22699326779;Utama
37;ARGO;Argo Pantes Tbk;07/01/1991;3174339029;Pengembangan
38;ARII;Atlas Resources Tbk.;08/11/2011;3431000000;Pengembangan
39;ARNA;Arwana Citramulia Tbk.;17/07/2001;7341430976;Utama
40;ARTA;Arthavest Tbk;05/11/2002;446674175;Pengembangan
41;ARTI;Ratu Prabu Energi Tbk;30/04/2003;7840000000;Pemantauan Khusus
42;ARTO;Bank Jago Tbk.;12/01/2016;13722768400;Utama
43;ASBI;Asuransi Bintang Tbk.;29/11/1989;348386472;Pengembangan
44;ASDM;Asuransi Dayin Mitra Tbk.;15/12/1989;384000000;Pengembangan
45;ASGR;Astra Graphia Tbk.;15/11/1989;1348780500;Utama
46;ASII;Astra International Tbk.;04/04/1990;40483553140;Utama
47;ASJT;Asuransi Jasa Tania Tbk.;23/12/2003;1400000000;Pengembangan
48;ASMI;Asuransi Maximus Graha Persada;16/01/2014;8958380460;Pemantauan Khusus
49;ASRI;Alam Sutera Realty Tbk.;18/12/2007;19649411888;Utama
50;ASRM;Asuransi Ramayana Tbk.;19/03/1990;1217135360;Pengembangan
51;ASSA;Adi Sarana Armada Tbk.;12/11/2012;3691137517;Utama
52;ATIC;Anabatic Technologies Tbk.;08/07/2015;2315361355;Pengembangan
53;AUTO;Astra Otoparts Tbk.;15/06/1998;4819733000;Utama
54;BABP;Bank MNC Internasional Tbk.;15/07/2002;44014333126;Pengembangan
55;BACA;Bank Capital Indonesia Tbk.;04/10/2007;19753494636;Utama
56;BAJA;Saranacentral Bajatama Tbk.;21/12/2011;1800000000;Pengembangan
57;BALI;Bali Towerindo Sentra Tbk.;13/03/2014;3934592500;Utama
58;BAPA;Bekasi Asri Pemula Tbk.;14/01/2008;661784520;Pengembangan
59;BATA;Sepatu Bata Tbk.;24/03/1982;1300000000;Pengembangan
60;BAYU;Bayu Buana Tbk;30/10/1989;353220780;Pengembangan
61;BBCA;Bank Central Asia Tbk.;31/05/2000;122042299500;Utama
62;BBHI;Allo Bank Indonesia Tbk.;12/08/2015;21512953877;Utama
63;BBKP;Bank KB Bukopin Tbk.;10/07/2006;185819884852;Utama
64;BBLD;Buana Finance Tbk.;07/05/1990;1645796054;Pengembangan
65;BBMD;Bank Mestika Dharma Tbk.;08/07/2013;4049189100;Pengembangan
66;BBNI;Bank Negara Indonesia (Persero;25/11/1996;36924339786;Utama
67;BBRI;Bank Rakyat Indonesia (Persero;10/11/2003;150043411587;Utama
68;BBRM;Pelayaran Nasional Bina Buana ;09/01/2013;8479490328;Pengembangan
69;BBTN;Bank Tabungan Negara (Persero);17/12/2009;13894099969;Utama
70;BBYB;Bank Neo Commerce Tbk.;13/01/2015;13216977523;Utama
71;BCAP;MNC Kapital Indonesia Tbk.;08/06/2001;42618850927;Utama
72;BCIC;Bank JTrust Indonesia Tbk.;25/06/1997;17926071041;Pengembangan
73;BCIP;Bumi Citra Permai Tbk.;11/12/2009;1429915525;Pengembangan
74;BDMN;Bank Danamon Indonesia Tbk.;06/12/1989;9675817341;Utama
75;BEKS;Bank Pembangunan Daerah Banten;13/07/2001;51351733883;Pemantauan Khusus
76;BEST;Bekasi Fajar Industrial Estate;10/04/2012;9647311150;Utama
77;BFIN;BFI Finance  Indonesia Tbk.;16/05/1990;15967115620;Utama
78;BGTG;Bank Ganesha Tbk.;12/05/2016;23731287132;Pengembangan
79;BHIT;MNC Asia Holding Tbk.;24/11/1997;86068156705;Pemantauan Khusus
80;BIKA;Binakarya Jaya Abadi Tbk.;14/07/2015;592280000;Pemantauan Khusus
81;BIMA;Primarindo Asia Infrastructure;30/08/1994;608175716;Pemantauan Khusus
82;BINA;Bank Ina Perdana Tbk.;16/01/2014;6073369498;Utama
83;BIPI;Astrindo Nusantara Infrastrukt;11/02/2010;63710196917;Pengembangan
84;BIPP;Bhuwanatala Indah Permai Tbk.;23/10/1995;5028669376;Pemantauan Khusus
85;BIRD;Blue Bird Tbk.;05/11/2014;2502100000;Utama
86;BISI;BISI International Tbk.;28/05/2007;3000000000;Utama
87;BJBR;Bank Pembangunan Daerah Jawa B;08/07/2010;10416229249;Utama
88;BJTM;Bank Pembangunan Daerah Jawa T;12/07/2012;14865343101;Utama
89;BKDP;Bukit Darmo Property Tbk;15/06/2007;7513992252;Pemantauan Khusus
90;BKSL;Sentul City Tbk.;28/07/1997;167708902705;Utama
91;BKSW;Bank QNB Indonesia Tbk.;21/11/2002;34806467881;Pengembangan
92;BLTA;Berlian Laju Tanker Tbk;26/03/1990;25940187103;Pemantauan Khusus
93;BLTZ;Graha Layar Prima Tbk.;10/04/2014;873937142;Pemantauan Khusus
94;BMAS;Bank Maspion Indonesia Tbk.;11/07/2013;17921635680;Pemantauan Khusus
95;BMRI;Bank Mandiri (Persero) Tbk.;14/07/2003;92399999996;Utama
96;BMSR;Bintang Mitra Semestaraya Tbk;29/12/1999;1159200024;Pengembangan
97;BMTR;Global Mediacom Tbk.;17/07/1995;16583997586;Utama
98;BNBA;Bank Bumi Arta Tbk.;01/06/2006;3354120000;Pengembangan
99;BNBR;Bakrie & Brothers Tbk;28/08/1989;173416832509;Pemantauan Khusus
100;BNGA;Bank CIMB Niaga Tbk.;29/11/1989;24890783784;Utama
101;BNII;Bank Maybank Indonesia Tbk.;21/11/1989;75357433911;Utama
102;BNLI;Bank Permata Tbk.;15/01/1990;35819545925;Pengembangan
103;BOLT;Garuda Metalindo Tbk.;07/07/2015;2343750000;Pengembangan
104;BPFI;Woori Finance Indonesia Tbk.;01/06/2009;2673995362;Pengembangan
105;BPII;Batavia Prosperindo Internasio;08/07/2014;10309973240;Pengembangan
106;BRAM;Indo Kordsa Tbk.;05/09/1990;450056980;Pengembangan
107;BRMS;Bumi Resources Minerals Tbk.;09/12/2010;141784040338;Utama
108;BRNA;Berlina Tbk.;06/11/1989;979110000;Pengembangan
109;BRPT;Barito Pacific Tbk.;01/10/1993;93747218044;Utama
110;BSDE;Bumi Serpong Damai Tbk.;06/06/2008;21171365812;Utama
111;BSIM;Bank Sinarmas Tbk.;13/12/2010;19517921842;Utama
112;BSSR;Baramulti Suksessarana Tbk.;08/11/2012;2616500000;Pengembangan
113;BSWD;Bank Of India Indonesia Tbk.;01/05/2002;3651978177;Pemantauan Khusus
114;BTEK;Bumi Teknokultura Unggul Tbk;14/05/2004;46277496376;Pemantauan Khusus
115;BTEL;Bakrie Telecom Tbk.;03/02/2006;36822665755;Pemantauan Khusus
116;BTON;Betonjaya Manunggal Tbk.;18/07/2001;720000000;Pengembangan
117;BTPN;Bank SMBC Indonesia Tbk.;12/03/2008;10536203690;Utama
118;BUDI;Budi Starch & Sweetener Tbk.;08/05/1995;4498997362;Utama
119;BUKK;Bukaka Teknik Utama Tbk.;29/06/2015;2640452000;Pengembangan
120;BULL;Buana Lintas Lautan Tbk.;23/05/2011;14117801449;Pengembangan
121;BUMI;Bumi Resources Tbk.;30/07/1990;371335392068;Utama
122;BUVA;Bukit Uluwatu Villa Tbk.;12/07/2010;20590473213;Pengembangan
123;BVIC;Bank Victoria International Tb;30/06/1999;15690057817;Utama
124;BWPT;Eagle High Plantations Tbk.;27/10/2009;31525291000;Utama
125;BYAN;Bayan Resources Tbk.;12/08/2008;33333335000;Utama
126;CANI;Capitol Nusantara Indonesia Tb;16/01/2014;833440000;Pemantauan Khusus
127;CASS;Cahaya Aero Services Tbk.;05/12/2011;2086950000;Utama
128;CEKA;Wilmar Cahaya Indonesia Tbk.;09/07/1996;595000000;Pengembangan
129;CENT;Centratama Telekomunikasi Indo;01/11/2001;31183464900;Pengembangan
130;CFIN;Clipan Finance Indonesia Tbk.;27/08/1990;3984520457;Utama
131;CINT;Chitose Internasional Tbk.;27/06/2014;1000000000;Pengembangan
132;CITA;Cita Mineral Investindo Tbk.;20/03/2002;3960361250;Pengembangan
133;CLPI;Colorpak Indonesia Tbk.;30/11/2001;306338500;Pengembangan
134;CMNP;Citra Marga Nusaphala Persada ;10/01/1995;6039586226;Utama
135;CMPP;AirAsia Indonesia Tbk.;08/12/1994;10685124441;Pemantauan Khusus
