Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(1 B),(3 B),(4 B),-35.80
12M 2014,(19 B),(6 B),(25 B),-245.81
12M 2015,(3 B),(3 B),(6 B),-12.21
12M 2016,13 B,(10 B),3 B,5.59
12M 2017,(4 B),(1 B),(4 B),-8.34
12M 2018,72 B,(1 B),71 B,139.31
12M 2019,233 B,(5 B),229 B,450.55
12M 2020,(107 B),(1 B),(107 B),-211.53
12M 2021,67 B,(1 B),66 B,129.50
12M 2022,178 B,(1 B),176 B,347.43
12M 2023,(111 B),(0 B),(111 B),-218.73
12M 2024,(277 B),(1 B),(277 B),-546.47
