Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,23.52,23.52,1.27
12M 2014,46.28,5.26,32.81,18.73,7.89,8.28,69.37,58.32,103.07,85.5,5.05,4.89,26.57,26.57,1.27
12M 2015,46.6,9.84,31.37,25.07,7.83,6.82,37.08,35.63,49.77,51.04,3.85,3.63,717.82,717.82,1.01
12M 2016,6.79,7.13,3.85,10.07,53.74,8.33,51.18,52.36,57.85,48.08,8.19,4.48,-223.69,-223.69,0.92
12M 2017,16.01,5.69,15.69,6.01,22.79,10.81,64.11,56.51,82.85,84.63,8.75,5.76,30.37,30.37,1.3
12M 2018,32.15,3.66,32.9,2.91,11.35,12.31,99.83,100.71,167.76,173.71,7.53,7.52,41.42,41.42,1.16
12M 2019,61.9,4.44,81.96,-15.62,5.9,10.75,82.14,100.65,120.02,117.34,3.54,3.72,25.18,25.18,1.18
12M 2020,43.77,2.28,72.82,-26.77,8.34,13.36,159.89,398.37,153.29,212.82,3.99,4.11,21.54,21.54,1.3
12M 2021,23.77,0.36,35.68,-11.55,15.35,11.14,1003.94,1180.5,336.74,320.27,7.56,6.97,29.13,29.13,1.32
12M 2022,19.01,0.18,36.33,-17.14,19.2,11.71,2070.99,1881.04,379.58,377.39,7.26,6.76,24.02,24.02,1.38
12M 2023,19.49,0.51,56.32,-36.32,18.72,16.91,716.6,559.67,269.18,278.14,3.86,4.17,9.53,9.53,2.54
12M 2024,109.37,19.59,396.16,-267.2,3.34,1.27,18.63,16.32,27.02,27.14,0.28,0.32,0.39,0.39,21.49
