Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,293 B,(143 B),150 B,81.26
12M 2009,310 B,(74 B),235 B,127.12
12M 2010,279 B,(185 B),94 B,50.90
12M 2011,374 B,(233 B),140 B,75.85
12M 2012,614 B,(228 B),385 B,208.30
12M 2013,257 B,(520 B),(262 B),-141.82
12M 2014,270 B,(447 B),(178 B),-95.99
12M 2015,530 B,(298 B),232 B,125.21
12M 2016,(247 B),"(1,074 B)","(1,321 B)",-714.00
12M 2017,487 B,(792 B),(305 B),-164.93
12M 2018,"1,361 B",(607 B),754 B,407.46
12M 2019,"1,205 B",(391 B),814 B,439.89
12M 2020,487 B,(236 B),251 B,135.84
12M 2021,971 B,(106 B),865 B,467.51
12M 2022,"1,157 B",(144 B),"1,013 B",547.59
12M 2023,179 B,(359 B),(180 B),-97.24
12M 2024,695 B,(535 B),160 B,86.60
