Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,19 B,(33 B),(14 B),-32.73
12M 2009,20 B,(14 B),6 B,13.01
12M 2010,33 B,(29 B),4 B,9.83
12M 2011,32 B,(17 B),15 B,34.87
12M 2012,53 B,(74 B),(21 B),-49.98
12M 2013,27 B,(94 B),(67 B),-78.49
12M 2014,55 B,(30 B),26 B,29.66
12M 2015,20 B,58 B,78 B,87.84
12M 2016,29 B,(19 B),10 B,11.37
12M 2017,49 B,(64 B),(15 B),-17.47
12M 2018,36 B,(22 B),14 B,15.47
12M 2019,43 B,(16 B),26 B,29.74
12M 2020,10 B,(5 B),5 B,5.51
12M 2021,19 B,(17 B),3 B,2.82
12M 2022,44 B,(52 B),(8 B),-5.72
12M 2023,75 B,(48 B),28 B,19.09
12M 2024,75 B,(60 B),14 B,9.64
