Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.12,0.9,1.28,3.11,0.0,0.0,0.72,0.41,2.09
12M 2009,1.61,1.24,1.31,3.05,0.0,0.0,0.66,0.43,2.02
12M 2010,1.76,1.44,0.18,1.6,0.0,0.0,-0.18,0.11,0.59
12M 2011,1.22,0.79,0.43,1.83,0.0,0.0,0.18,0.24,0.82
12M 2012,1.87,1.26,0.56,2.14,0.0,0.0,0.21,0.26,1.14
12M 2013,1.37,0.62,0.17,2.0,0.0,0.0,-0.23,0.08,1.0
12M 2014,1.42,0.45,0.08,2.05,0.0,0.0,-0.18,0.04,1.05
12M 2015,1.41,0.43,0.33,2.27,0.0,0.0,0.18,0.15,1.27
12M 2016,1.23,0.41,0.44,2.76,0.0,0.0,0.34,0.16,1.76
12M 2017,0.64,0.23,1.49,4.62,0.0,0.0,1.17,0.32,3.62
12M 2018,0.86,0.29,1.29,4.18,0.0,0.0,0.98,0.31,3.18
12M 2019,0.73,0.27,2.46,7.2,0.0,0.0,1.89,0.34,6.2
12M 2020,0.56,0.21,6.2,24.42,0.0,0.0,4.58,0.25,23.42
12M 2021,0.84,0.41,1.62,7.96,0.0,0.0,0.33,0.2,6.96
12M 2022,0.67,0.27,4.95,22.8,0.0,0.0,3.02,0.22,21.8
12M 2023,0.75,0.25,2.93,14.05,0.0,0.0,1.96,0.21,13.05
12M 2024,0.78,0.27,5.05,23.69,0.0,0.0,3.35,0.21,22.69
