Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,753 B,(533 B),220 B,46.72
12M 2009,"1,230 B",(525 B),705 B,149.28
12M 2010,572 B,(236 B),335 B,60.15
12M 2011,198 B,(341 B),(143 B),-25.67
12M 2012,395 B,(382 B),13 B,2.37
12M 2013,"1,100 B",(304 B),796 B,148.00
12M 2014,490 B,(114 B),376 B,69.92
12M 2015,(141 B),(130 B),(271 B),-50.46
12M 2016,583 B,(93 B),489 B,90.95
12M 2017,(143 B),(60 B),(202 B),-37.64
12M 2018,(255 B),(25 B),(280 B),-37.19
12M 2019,450 B,(38 B),412 B,54.71
12M 2020,476 B,(19 B),457 B,60.69
12M 2021,412 B,(10 B),402 B,47.41
12M 2022,217 B,(18 B),199 B,23.43
12M 2023,164 B,(24 B),141 B,10.84
12M 2024,451 B,(32 B),419 B,32.32
