Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,4.71 B,,0.00,0.33,,0.00%,0.00%,18.65%,2.81
12M 2009,4.72 B,,0.00,0.40,,0.00%,0.00%,7.95%,1.91
12M 2010,5.58 B,,0.00,0.97,,0.00%,0.00%,0.68%,
12M 2011,5.58 B,18.84,48.83,0.58,,1.02%,1.86%,1.29%,
12M 2012,5.58 B,39.55,29.08,0.59,,2.68%,5.73%,4.87%,1.41
12M 2013,5.38 B,82.73,23.45,0.88,,6.76%,13.50%,13.00%,7.13
12M 2014,5.38 B,103.02,29.61,1.21,,9.51%,19.45%,21.50%,47.36
12M 2015,5.38 B,34.03,53.63,0.70,,2.91%,6.59%,8.19%,5.77
12M 2016,5.38 B,7.16,206.70,0.59,,0.57%,1.58%,5.17%,2.14
12M 2017,5.38 B,-231.21,-1.95,0.19,,-22.91%,-105.90%,-63.40%,-13.21
12M 2018,7.53 B,-119.31,-1.27,0.11,(711.19 B),-18.68%,-78.16%,-59.95%,-6.70
12M 2019,7.53 B,-73.40,-1.91,0.12,(50.03 B),-14.46%,-104.15%,-19.23%,-2.32
12M 2020,7.53 B,-53.83,-1.95,0.12,328.94 B,-8.99%,-219.45%,-14.80%,-0.80
12M 2021,8.48 B,-39.82,-10.90,0.55,395.95 B,-7.26%,-57.76%,-6.76%,-0.53
12M 2022,8.48 B,-50.68,-2.53,0.15,207.91 B,-11.35%,-258.85%,-15.18%,-1.47
12M 2023,12.97 B,-19.69,-3.30,0.12,244.52 B,-7.01%,-98.55%,-12.57%,-1.16
12M 2024,12.97 B,-9.11,-7.14,0.12,333.92 B,-3.32%,-78.60%,-3.05%,-0.30
