Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,106 B,(116 B),(10 B),-6.68
12M 2008,131 B,,23 B,16.31
12M 2009,268 B,(53 B),206 B,142.98
12M 2010,151 B,(119 B),33 B,22.68
12M 2011,230 B,(102 B),,0.00
12M 2012,353 B,(111 B),242 B,167.95
12M 2013,450 B,(152 B),298 B,206.65
12M 2014,450 B,(113 B),337 B,233.76
12M 2015,536 B,(100 B),436 B,302.58
12M 2016,583 B,(74 B),509 B,88.36
12M 2017,446 B,,341 B,59.29
12M 2018,543 B,(177 B),366 B,63.57
12M 2019,678 B,(122 B),556 B,96.53
12M 2020,944 B,(75 B),869 B,150.90
12M 2021,489 B,(166 B),323 B,56.14
12M 2022,"1,064 B",(270 B),794 B,137.80
12M 2023,"1,128 B",(181 B),947 B,164.39
12M 2024,"1,176 B",(210 B),966 B,167.74
