Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,1.44 B,61.52,7.02,0.58,,10.67%,18.33%,54.28%,11.33
12M 2008,1.44 B,70.51,9.25,0.69,,10.92%,18.55%,36.39%,3.62
12M 2009,1.44 B,99.29,7.57,0.79,,15.18%,28.67%,33.65%,22.00
12M 2010,1.44 B,114.51,9.36,0.99,,15.45%,31.69%,34.53%,49.04
12M 2011,1.44 B,139.52,9.75,1.08,,17.67%,33.15%,37.23%,10.71
12M 2012,1.44 B,161.99,15.58,1.68,,16.18%,36.14%,39.10%,12.23
12M 2013,1.44 B,222.58,15.51,2.09,,18.84%,38.26%,45.42%,16.16
12M 2014,1.44 B,271.70,17.49,2.60,,22.36%,38.92%,47.36%,19.89
12M 2015,1.44 B,297.03,16.03,2.44,,19.26%,35.06%,42.15%,23.72
12M 2016,5.76 B,78.64,12.46,1.96,,20.09%,32.87%,39.36%,43.27
12M 2017,5.76 B,86.73,14.47,2.16,,20.44%,31.37%,38.35%,75.17
12M 2018,5.76 B,96.71,14.48,2.05,951.46 B,19.88%,29.89%,38.21%,84.69
12M 2019,5.76 B,100.29,14.86,2.18,956.35 B,18.59%,27.64%,33.06%,112.55
12M 2020,5.76 B,84.70,16.35,2.47,815.05 B,14.45%,21.45%,24.66%,37.38
12M 2021,5.76 B,114.96,11.83,1.88,"1,043.40 B",17.11%,26.26%,30.14%,48.89
12M 2022,5.76 B,147.31,10.42,1.81,,19.37%,29.29%,34.14%,56.88
12M 2023,5.76 B,163.96,12.17,2.25,"1,444.13 B",20.64%,29.36%,33.63%,60.93
12M 2024,5.76 B,177.85,10.68,2.12,"1,547.86 B",20.63%,29.49%,33.82%,66.62
