Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,11.53,,1.44
12M 2010,38.39,10.55,36.7,12.24,9.51,9.48,34.61,36.06,2.22,1.95,1.34,1.14,5.09,5.09,2.3
12M 2011,40.17,10.9,39.07,12.0,9.09,8.44,33.5,26.81,1.82,1.62,1.23,1.17,19.36,19.36,1.28
12M 2012,36.72,11.19,41.59,6.32,9.94,9.05,32.61,28.7,1.65,1.42,1.21,1.07,48.88,48.88,1.12
12M 2013,38.66,13.37,53.91,-1.88,9.44,8.95,27.3,25.28,1.46,1.33,0.99,0.86,34.46,34.46,1.14
12M 2014,38.44,14.42,53.12,-0.26,9.5,8.76,25.32,24.44,1.32,1.12,0.95,0.89,16.68,16.68,1.37
12M 2015,38.77,15.03,51.07,2.73,9.41,8.99,24.28,25.12,1.24,1.24,0.9,0.83,5.21,5.21,2.05
12M 2016,38.29,14.04,49.65,2.68,9.53,9.02,26.0,24.84,1.38,1.37,0.9,0.88,4.01,4.01,2.96
12M 2017,44.34,15.58,49.75,10.17,8.23,7.8,23.43,25.12,1.3,1.28,0.67,0.66,1.93,1.93,2.26
12M 2018,48.67,16.53,48.71,16.49,7.5,7.21,22.09,21.3,1.31,1.27,0.62,0.64,2.05,2.05,3.57
12M 2019,48.92,18.25,49.5,17.67,7.46,7.07,20.0,17.78,1.4,1.34,0.74,0.72,4.35,4.35,1.69
12M 2020,47.01,24.24,49.03,22.22,7.76,9.72,15.06,12.97,1.29,1.34,0.7,0.76,2.81,2.81,3.83
12M 2021,40.26,27.14,45.16,22.24,9.07,9.01,13.45,13.54,1.33,1.33,0.76,0.78,4.12,4.12,2.65
12M 2022,40.24,26.27,46.25,20.26,9.07,8.1,13.89,13.06,1.58,1.59,0.95,0.95,5.85,5.85,2.1
12M 2023,45.7,29.56,50.01,25.25,7.99,8.09,12.35,12.62,1.52,1.5,0.95,0.95,7.71,7.71,1.74
12M 2024,42.01,30.12,42.9,29.23,8.69,8.4,12.12,11.7,1.56,1.58,1.02,1.01,9.07,9.07,1.71
