Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.09 B,663.74,0.00,0.00,,16.46%,34.03%,72.77%,7.41
12M 2010,1.01 B,98.56,26.89,4.38,,17.56%,21.91%,37.31%,26.75
12M 2011,1.01 B,114.52,29.03,4.14,,15.27%,21.22%,28.20%,
12M 2012,1.01 B,147.33,46.83,5.87,,12.38%,22.37%,24.61%,
12M 2013,5.06 B,31.22,32.67,3.43,,8.67%,20.07%,18.50%,9.53
12M 2014,5.06 B,37.26,37.17,3.73,,8.80%,19.64%,17.89%,6.38
12M 2015,5.06 B,53.45,23.67,2.94,,10.00%,22.76%,21.89%,5.03
12M 2016,5.06 B,55.31,28.93,3.21,,9.59%,20.01%,18.05%,4.84
12M 2017,6.19 B,23.60,54.03,3.17,,3.20%,5.26%,8.39%,2.80
12M 2018,6.19 B,27.91,43.00,2.68,331.88 B,3.93%,6.08%,5.25%,2.36
12M 2019,6.19 B,48.65,26.72,2.41,524.29 B,6.43%,9.81%,9.59%,5.38
12M 2020,6.19 B,34.76,39.13,2.62,456.84 B,4.83%,6.66%,6.70%,3.16
12M 2021,6.19 B,45.48,29.90,2.56,604.07 B,6.71%,9.87%,10.56%,8.16
12M 2022,6.19 B,69.87,18.89,2.08,837.94 B,10.46%,16.12%,17.67%,12.65
12M 2023,6.19 B,53.87,21.35,1.86,680.84 B,8.45%,13.93%,14.08%,7.86
12M 2024,6.19 B,58.61,16.55,1.53,720.79 B,9.68%,15.75%,16.27%,8.29
