Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,56 B,(20 B),36 B,420.84
12M 2010,114 B,(163 B),(49 B),-48.41
12M 2011,148 B,(228 B),(80 B),-79.40
12M 2012,189 B,(430 B),(241 B),-237.60
12M 2013,315 B,(522 B),(207 B),-40.91
12M 2014,365 B,(396 B),(31 B),-6.14
12M 2015,556 B,(242 B),314 B,62.03
12M 2016,415 B,(174 B),240 B,47.51
12M 2017,371 B,(342 B),29 B,4.61
12M 2018,296 B,(364 B),(68 B),-11.00
12M 2019,480 B,(547 B),(67 B),-10.81
12M 2020,487 B,(456 B),31 B,5.02
12M 2021,644 B,(218 B),425 B,68.73
12M 2022,727 B,(186 B),541 B,87.39
12M 2023,619 B,(129 B),490 B,79.21
12M 2024,589 B,(109 B),480 B,77.62
