Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,(5 B),(18 B),(23 B),-2030285.88
12M 2013,33 B,(53 B),(21 B),-14.79
12M 2014,(9 B),(69 B),(78 B),-55.41
12M 2015,12 B,(20 B),(7 B),-6.87
12M 2016,40 B,(8 B),32 B,29.66
12M 2017,8 B,(7 B),1 B,1.16
12M 2018,28 B,(5 B),22 B,20.77
12M 2019,37 B,(16 B),21 B,19.29
12M 2020,25 B,(13 B),13 B,11.85
12M 2021,20 B,(13 B),7 B,6.73
12M 2022,26 B,(23 B),4 B,3.50
12M 2023,31 B,(31 B),(0 B),-0.08
12M 2024,2 B,(29 B),(26 B),-24.32
