Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(10 B),(62 B),(72 B),-55.13
12M 2009,100 B,(17 B),83 B,63.60
12M 2010,(14 B),(27 B),(40 B),-30.62
12M 2011,90 B,(296 B),(207 B),-157.65
12M 2012,24 B,(143 B),(119 B),-90.61
12M 2013,59 B,(191 B),(132 B),-100.92
12M 2014,199 B,(232 B),(34 B),-25.82
12M 2015,195 B,(196 B),(1 B),-0.57
12M 2016,166 B,(155 B),11 B,8.65
12M 2017,301 B,(26 B),275 B,210.08
12M 2018,245 B,(32 B),213 B,162.56
12M 2019,500 B,(403 B),97 B,73.78
12M 2020,926 B,(256 B),670 B,511.69
12M 2021,624 B,(66 B),559 B,426.48
12M 2022,677 B,(109 B),568 B,433.65
12M 2023,"1,040 B",(116 B),924 B,705.44
12M 2024,"1,029 B",(75 B),954 B,727.87
