Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.31 B,3.68,40.76,0.31,,0.77%,1.33%,14.40%,2.69
12M 2009,1.31 B,31.35,7.97,0.52,,7.49%,10.15%,9.41%,4.77
12M 2010,1.31 B,31.86,12.08,0.66,,6.43%,9.33%,11.17%,8.00
12M 2011,1.31 B,32.58,21.18,0.88,,4.57%,8.71%,12.69%,7.14
12M 2012,1.31 B,56.98,18.43,1.07,,5.97%,13.22%,19.15%,4.67
12M 2013,1.31 B,87.38,17.74,1.20,,7.79%,16.86%,23.69%,4.78
12M 2014,1.31 B,94.27,30.55,1.74,,7.26%,15.39%,21.98%,3.78
12M 2015,1.31 B,141.78,21.27,1.55,,9.68%,18.88%,23.45%,4.28
12M 2016,1.31 B,133.18,23.95,1.59,,7.47%,15.09%,17.94%,3.26
12M 2017,1.31 B,165.16,26.40,2.02,,9.24%,15.77%,17.30%,4.52
12M 2018,1.31 B,194.81,19.25,1.74,411.45 B,9.70%,15.65%,17.17%,6.25
12M 2019,1.31 B,368.41,12.21,1.68,689.00 B,16.75%,22.80%,27.97%,20.15
12M 2020,1.31 B,479.82,19.80,3.24,818.22 B,18.22%,23.79%,28.27%,33.87
12M 2021,1.31 B,471.38,16.02,2.33,698.75 B,15.76%,18.89%,20.07%,111.29
12M 2022,1.31 B,476.70,16.05,2.03,650.57 B,13.60%,16.02%,15.52%,18702.17
12M 2023,1.31 B,700.53,13.38,2.58,"1,045.90 B",16.74%,19.05%,21.48%,117080.44
12M 2024,1.31 B,1003.30,13.58,3.60,"1,141.06 B",19.44%,21.48%,19.02%,3562426.68
