Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.68 B,-0.76,-2956.58,2160.01,,-16.96%,-87.01%,0.00%,
12M 2009,1.68 B,-0.31,-7248.39,1845.01,,-7.44%,-53.91%,4.94%,
12M 2010,1.68 B,0.21,10700.00,1939.66,,11.49%,-39.13%,14.95%,
12M 2011,1.47 B,23.63,57.09,2.26,,8.21%,19.41%,49.62%,
12M 2012,1.87 B,62.70,13.40,0.88,,9.09%,43.53%,40.94%,
12M 2013,2.21 B,78.62,6.23,0.44,,9.55%,22.21%,28.83%,
12M 2014,2.21 B,121.37,3.77,0.33,,13.18%,26.74%,26.65%,24.16
12M 2015,2.21 B,149.84,3.50,0.38,,14.86%,25.71%,29.81%,25.25
12M 2016,2.21 B,127.98,4.92,0.55,,14.27%,19.58%,22.23%,31.35
12M 2017,2.21 B,74.51,9.39,0.61,,8.92%,11.85%,15.27%,31.64
12M 2018,2.21 B,199.57,5.24,0.67,789.57 B,20.09%,26.69%,37.03%,104.41
12M 2019,2.21 B,167.17,7.75,0.79,667.46 B,16.56%,21.71%,26.29%,84.80
12M 2020,2.21 B,148.72,8.74,1.13,611.47 B,15.39%,18.04%,22.86%,721.14
12M 2021,2.21 B,174.66,10.02,1.68,704.06 B,16.46%,19.20%,23.70%,724.31
12M 2022,2.21 B,94.87,16.76,1.67,463.76 B,7.92%,9.03%,13.30%,280.25
12M 2023,2.21 B,127.78,13.46,1.85,377.39 B,7.71%,11.38%,10.31%,37.95
12M 2024,2.21 B,114.39,13.90,1.23,653.03 B,6.97%,9.10%,11.47%,7.95
