Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(0 B),(0 B),(0 B),-0.07
12M 2009,0 B,(0 B),0 B,0.02
12M 2010,0 B,(0 B),(0 B),-0.02
12M 2011,39 B,(71 B),(32 B),-21.94
12M 2012,151 B,(431 B),(280 B),-149.55
12M 2013,36 B,(230 B),(194 B),-87.96
12M 2014,442 B,(239 B),204 B,92.33
12M 2015,596 B,(94 B),502 B,227.74
12M 2016,329 B,(33 B),296 B,134.19
12M 2017,420 B,(63 B),357 B,161.64
12M 2018,790 B,(200 B),590 B,267.35
12M 2019,241 B,(168 B),73 B,33.03
12M 2020,654 B,(36 B),618 B,279.97
12M 2021,849 B,(51 B),798 B,361.61
12M 2022,286 B,(87 B),199 B,90.16
12M 2023,392 B,(32 B),360 B,163.14
12M 2024,572 B,(29 B),544 B,246.39
