Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.09 B,42.98,0.00,0.00,,5.76%,21.91%,54.09%,5.12
12M 2009,3.43 B,54.32,9.57,0.17,,6.52%,20.92%,28.20%,5.89
12M 2010,3.43 B,74.55,38.90,0.71,,6.00%,23.58%,28.08%,5.61
12M 2011,3.43 B,105.10,37.58,0.74,,7.19%,24.70%,29.22%,5.52
12M 2012,3.77 B,127.41,41.21,0.85,,6.41%,15.70%,22.67%,12.56
12M 2013,37.75 B,14.26,31.56,0.49,,4.91%,22.86%,25.46%,3.28
12M 2014,38.61 B,13.82,36.18,0.46,,3.81%,18.39%,24.75%,2.50
12M 2015,41.52 B,10.86,53.41,0.50,,2.97%,9.54%,16.78%,2.22
12M 2016,41.52 B,14.49,43.13,0.46,,3.09%,11.71%,15.68%,2.42
12M 2017,41.52 B,7.23,84.37,0.41,,1.37%,5.88%,12.27%,1.60
12M 2018,41.52 B,15.66,59.71,0.58,"4,190.59 B",2.93%,11.10%,14.11%,2.66
12M 2019,41.52 B,26.79,32.85,0.50,"4,646.98 B",4.64%,16.61%,16.38%,4.50
12M 2020,41.52 B,25.56,31.30,0.44,"4,770.41 B",4.09%,14.30%,15.73%,4.42
12M 2021,41.52 B,46.98,25.86,0.59,"6,153.32 B",7.10%,22.19%,25.84%,8.73
12M 2022,41.52 B,68.76,38.54,1.14,"7,254.33 B",9.29%,25.44%,30.81%,20.58
12M 2023,41.52 B,81.97,35.74,1.14,"8,295.24 B",9.94%,23.52%,29.20%,27.25
12M 2024,41.52 B,75.81,37.59,1.00,"8,491.57 B",8.11%,19.22%,22.46%,31.90
