Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.51 B,25.79,3.72,0.83,,2.29%,20.18%,5.28%,
12M 2009,4.53 B,12.37,7.52,1.76,,1.62%,11.11%,2.44%,
12M 2010,4.53 B,18.58,5.17,1.27,,1.91%,15.48%,2.29%,
12M 2011,4.53 B,24.12,6.26,1.77,,2.33%,17.96%,2.46%,
12M 2012,4.55 B,9.78,11.66,1.20,,0.79%,6.76%,1.15%,
12M 2013,6.40 B,24.11,3.65,1.02,,2.16%,17.02%,2.78%,
12M 2014,6.40 B,27.92,3.44,0.78,,1.93%,18.33%,2.49%,
12M 2015,6.40 B,36.70,5.59,1.17,,1.93%,22.31%,2.50%,
12M 2016,7.04 B,47.17,4.37,1.17,,2.34%,25.25%,2.82%,
12M 2017,7.04 B,12.24,17.65,1.18,,0.53%,6.12%,0.81%,
12M 2018,7.07 B,15.06,19.92,1.56,187.56 B,0.59%,7.17%,0.92%,
12M 2019,7.07 B,2.25,133.33,1.40,71.66 B,0.08%,1.03%,0.18%,
12M 2020,7.07 B,8.68,43.32,2.31,135.45 B,0.30%,3.74%,0.42%,
12M 2021,7.08 B,4.91,54.18,2.22,124.08 B,0.16%,1.64%,0.27%,
12M 2022,19.95 B,1.61,81.37,4.18,119.86 B,0.16%,0.98%,0.24%,
12M 2023,19.95 B,5.10,25.88,3.14,206.43 B,0.53%,3.00%,0.73%,
12M 2024,19.95 B,5.48,23.91,2.67,203.98 B,0.48%,1.65%,0.72%,
