Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,3.33 B,279.36,0.00,0.00,,24.11%,29.45%,23.52%,
12M 2013,3.33 B,80.22,18.57,2.94,,5.52%,6.02%,6.76%,
12M 2014,3.33 B,68.77,19.27,2.24,,4.15%,4.91%,9.33%,
12M 2015,3.34 B,-33.00,-48.79,3.18,,-1.70%,-2.34%,2.33%,
12M 2016,3.35 B,36.51,54.51,3.73,,1.74%,2.57%,3.33%,
12M 2017,3.35 B,189.22,6.34,1.86,,8.27%,11.95%,1.75%,
12M 2018,3.35 B,-1.32,-871.21,1.78,436.68 B,-0.05%,-0.08%,0.97%,
12M 2019,3.35 B,-17.70,-56.50,1.82,104.42 B,-0.68%,-1.10%,-1.27%,
12M 2020,3.35 B,10.20,72.06,1.03,483.96 B,0.38%,0.62%,2.22%,
12M 2021,3.35 B,170.78,5.74,0.86,"1,238.25 B",6.15%,9.32%,10.27%,
12M 2022,3.35 B,96.34,6.90,0.56,994.16 B,3.44%,4.91%,6.67%,
12M 2023,3.35 B,23.45,31.77,0.69,721.32 B,0.88%,1.30%,3.55%,
12M 2024,3.35 B,45.59,15.68,0.64,908.21 B,1.65%,2.42%,5.55%,
