Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(29 B),(442 B),(471 B),-341162.18
12M 2012,157 B,(32 B),125 B,121.94
12M 2013,402 B,(132 B),269 B,235.43
12M 2014,242 B,(146 B),96 B,70.90
12M 2015,267 B,(999 B),(732 B),-541.91
12M 2016,537 B,(563 B),(27 B),-19.68
12M 2017,484 B,(542 B),(58 B),-42.57
12M 2018,457 B,(907 B),(450 B),-333.22
12M 2019,727 B,(640 B),87 B,64.44
12M 2020,728 B,(363 B),365 B,270.02
12M 2021,414 B,"(1,628 B)","(1,214 B)",-898.73
12M 2022,717 B,(496 B),221 B,163.27
12M 2023,820 B,(290 B),530 B,392.19
12M 2024,664 B,(132 B),531 B,393.38
