Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.9,0.9,1.02,2.39,0.0,0.0,1.01,0.43,1.39
12M 2012,0.52,0.52,0.55,1.73,0.0,0.0,0.42,0.32,0.73
12M 2013,5.42,5.42,0.29,1.33,0.0,0.0,0.18,0.22,0.33
12M 2014,2.79,2.79,0.23,1.26,0.0,0.0,0.01,0.18,0.26
12M 2015,2.23,2.22,0.22,1.4,0.0,0.0,0.2,0.15,0.4
12M 2016,2.54,2.5,0.34,1.59,0.0,0.0,0.25,0.22,0.59
12M 2017,1.42,1.39,0.35,1.47,0.0,0.0,0.3,0.24,0.47
12M 2018,1.2,1.06,0.39,1.48,0.0,0.0,0.34,0.26,0.48
12M 2019,1.47,1.31,0.44,1.53,0.0,0.0,0.33,0.29,0.53
12M 2020,1.16,1.06,0.41,1.68,0.0,0.0,0.35,0.24,0.68
12M 2021,2.81,2.68,0.24,1.45,0.0,0.0,0.06,0.16,0.45
12M 2022,1.95,1.87,0.39,1.6,0.0,0.0,0.27,0.24,0.6
12M 2023,1.82,1.78,0.62,1.9,0.0,0.0,0.42,0.33,0.9
12M 2024,0.39,0.39,0.62,2.04,0.0,0.0,0.61,0.3,1.04
