Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,-1.98,,0.9
12M 2012,86.7,1.67,49.3,39.07,4.21,2.33,219.06,651.86,6.83,19.57,0.22,0.19,-0.96,-0.96,0.52
12M 2013,106.63,0.21,50.4,56.44,3.42,3.28,1724.36,1724.36,19.71,19.04,0.18,0.18,1.25,1.25,5.42
12M 2014,95.38,2.12,70.49,27.01,3.83,2.92,172.47,115.11,9.99,9.47,0.15,0.13,0.61,0.61,2.79
12M 2015,131.24,6.44,89.65,48.03,2.78,2.38,56.65,28.94,1.16,1.01,0.13,0.12,2.02,2.02,2.23
12M 2016,127.89,18.66,91.65,54.9,2.85,2.45,19.56,8.85,0.9,0.92,0.15,0.13,1.26,1.26,2.54
12M 2017,159.55,21.32,139.2,41.67,2.29,2.06,17.12,14.75,0.27,0.27,0.13,0.13,2.16,2.16,1.42
12M 2018,154.19,72.11,175.82,50.48,2.37,2.25,5.06,2.99,0.16,0.15,0.13,0.12,4.64,4.64,1.2
12M 2019,129.47,101.64,142.89,88.22,2.82,3.08,3.59,3.23,0.16,0.16,0.13,0.13,2.31,2.31,1.47
12M 2020,120.86,88.65,167.65,41.86,3.02,2.56,4.12,5.43,0.15,0.15,0.12,0.11,6.05,6.05,1.16
12M 2021,146.62,82.21,203.12,25.71,2.49,2.06,4.44,3.61,0.15,0.17,0.1,0.1,0.66,0.66,2.81
12M 2022,176.2,63.4,134.19,105.41,2.07,1.76,5.76,6.22,0.18,0.18,0.11,0.12,1.18,1.18,1.95
12M 2023,152.79,40.7,84.91,108.58,2.39,2.22,8.97,10.43,0.22,0.21,0.13,0.13,1.27,1.27,1.82
12M 2024,131.14,15.9,80.01,67.03,2.78,4.42,22.95,285.36,0.26,0.31,0.14,0.19,-0.83,-0.83,0.39
