Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.00 B,59352.21,0.00,0.00,,5.16%,12.32%,1.56%,7.27
12M 2012,1.03 B,558.24,9.85,13.67,,26.64%,45.99%,23.33%,15.88
12M 2013,1.14 B,694.68,8.21,14.53,,28.34%,37.82%,14.97%,11.87
12M 2014,1.35 B,171.28,17.52,8.41,,6.02%,7.61%,9.65%,134.34
12M 2015,1.35 B,233.10,8.15,5.07,,7.54%,10.56%,7.63%,3.61
12M 2016,1.35 B,329.30,5.62,3.55,,8.16%,12.96%,8.87%,3.31
12M 2017,1.35 B,194.04,41.74,14.36,,4.12%,6.07%,5.23%,2.02
12M 2018,1.35 B,108.08,76.79,12.49,662.02 B,1.89%,2.80%,5.50%,1.70
12M 2019,1.35 B,95.37,68.42,8.10,809.22 B,1.45%,2.22%,5.15%,1.63
12M 2020,1.35 B,49.75,145.73,8.73,751.24 B,0.65%,1.08%,4.42%,1.03
12M 2021,1.35 B,46.90,124.20,8.07,644.10 B,0.66%,0.96%,3.35%,1.13
12M 2022,1.35 B,30.74,187.87,7.17,704.76 B,0.44%,0.70%,4.58%,1.52
12M 2023,1.35 B,53.35,104.97,6.82,824.07 B,0.95%,1.80%,5.61%,1.49
12M 2024,1.35 B,-1370.07,-3.67,7.87,579.22 B,-41.88%,-85.36%,4.40%,0.86
