Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.7,0.26,0.95,2.38,0.0,0.0,0.94,0.4,1.38
12M 2016,0.59,0.3,0.95,2.34,0.0,0.0,0.94,0.4,1.34
12M 2017,1.23,0.68,0.86,2.22,0.0,0.0,0.85,0.39,1.22
12M 2018,1.64,0.86,0.06,1.31,0.0,0.0,0.05,0.05,0.31
12M 2019,1.17,0.69,0.37,1.62,0.0,0.0,0.37,0.23,0.62
12M 2020,1.72,1.03,0.28,1.47,0.0,0.0,0.26,0.19,0.47
12M 2021,1.53,0.86,0.16,1.35,0.0,0.0,0.16,0.12,0.35
12M 2022,1.19,0.39,0.31,1.48,0.0,0.0,0.3,0.21,0.48
12M 2023,1.21,0.72,0.32,1.56,0.0,0.0,0.17,0.21,0.53
12M 2024,1.2,0.48,0.23,1.42,0.0,0.0,0.2,0.16,0.39
