Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,0.00 B,41609.24,0.00,0.00,,1.39%,3.30%,17.16%,1.48
12M 2016,1.75 B,22.44,0.00,0.00,,8.47%,19.81%,20.65%,3.47
12M 2017,2.20 B,22.81,33.10,2.70,,7.59%,16.84%,17.99%,3.61
12M 2018,12.00 B,5.27,53.89,4.10,168.50 B,7.59%,9.96%,17.19%,4.69
12M 2019,12.00 B,10.90,46.33,5.57,263.25 B,10.50%,17.06%,23.48%,13.86
12M 2020,12.00 B,11.06,45.21,6.17,294.63 B,10.13%,14.84%,19.33%,8.37
12M 2021,12.00 B,15.06,31.21,5.11,351.58 B,13.40%,18.04%,22.47%,18.95
12M 2022,12.00 B,16.29,34.07,3.98,437.72 B,10.92%,16.17%,22.29%,16.70
12M 2023,12.00 B,27.00,26.30,4.08,624.27 B,14.11%,22.07%,26.29%,20.94
12M 2024,12.00 B,38.76,40.63,7.01,868.23 B,17.46%,24.82%,31.89%,21.46
