Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,5.57 B,-28.62,-4.02,0.12,,-5.18%,-15.62%,-7.70%,-1.35
12M 2013,5.57 B,-13.48,-8.23,0.09,,-2.12%,-6.19%,-1.82%,-0.25
12M 2014,5.57 B,-14.40,-6.32,0.07,,-2.51%,-6.94%,-2.99%,-1.88
12M 2015,5.57 B,7.17,12.83,0.08,,1.24%,3.01%,7.34%,3.57
12M 2016,5.57 B,5.19,24.86,0.12,,1.05%,2.19%,3.43%,30.85
12M 2017,5.57 B,-4.20,-44.76,0.18,,-0.90%,-1.80%,-2.47%,-35.11
12M 2018,5.57 B,15.68,10.20,0.14,310.06 B,3.08%,5.88%,7.91%,139.88
12M 2019,5.57 B,-8.35,-14.25,0.14,101.06 B,-2.02%,-3.37%,-4.91%,-108.17
12M 2020,5.57 B,-12.94,-27.98,0.45,60.14 B,-3.42%,-5.37%,-8.66%,-88.84
12M 2021,5.57 B,24.55,18.90,0.44,283.00 B,5.23%,9.16%,8.62%,99.43
12M 2022,5.57 B,7.73,28.20,0.17,107.86 B,1.44%,2.57%,2.05%,25.25
12M 2023,5.57 B,-1.09,-180.73,0.19,8.65 B,-0.22%,-0.37%,-4.54%,-145.22
12M 2024,5.57 B,-23.58,-7.97,0.18,(125.57 B),-5.02%,-8.25%,-13.62%,-240.59
