Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,28 B,(7 B),22 B,3.87
12M 2013,121 B,(22 B),99 B,17.77
12M 2014,4 B,(22 B),(18 B),-3.27
12M 2015,459 B,(21 B),438 B,78.67
12M 2016,18 B,(19 B),(1 B),-0.16
12M 2017,17 B,(26 B),(9 B),-1.70
12M 2018,47 B,(35 B),12 B,2.17
12M 2019,75 B,(68 B),7 B,1.33
12M 2020,56 B,(63 B),(7 B),-1.26
12M 2021,555 B,(43 B),512 B,99.75
12M 2022,74 B,(79 B),(5 B),-0.94
12M 2023,18 B,(198 B),(180 B),-32.30
12M 2024,(123 B),(87 B),(210 B),0.00
