Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.48 B,14.75,103.05,1.24,,0.98%,2.79%,24.38%,1.72
12M 2009,2.48 B,111.68,14.33,1.45,,7.54%,17.46%,13.26%,2.39
12M 2010,2.48 B,114.21,25.17,2.10,,6.30%,15.63%,16.34%,3.37
12M 2011,2.48 B,53.41,81.91,2.63,,2.68%,7.35%,12.11%,2.41
12M 2012,2.48 B,2.14,1191.59,1.58,,0.09%,0.29%,9.18%,2.37
12M 2013,2.48 B,-100.51,-20.15,1.01,,-4.38%,-15.99%,13.83%,3.46
12M 2014,2.48 B,35.01,47.13,0.75,,1.55%,5.27%,7.98%,2.37
12M 2015,2.48 B,-124.66,-8.34,0.52,,-4.42%,-12.63%,3.37%,1.02
12M 2016,2.48 B,313.98,13.06,1.73,,9.06%,24.63%,16.21%,4.91
12M 2017,2.48 B,240.47,22.46,1.82,,6.36%,18.12%,19.01%,3.95
12M 2018,2.48 B,567.16,13.71,1.94,"2,769.58 B",12.82%,32.77%,37.65%,8.00
12M 2019,2.48 B,390.99,19.69,2.31,"1,598.33 B",9.01%,20.65%,18.32%,4.56
12M 2020,2.48 B,142.58,52.43,2.34,"1,036.53 B",3.07%,7.71%,10.28%,2.33
12M 2021,2.48 B,249.17,30.50,1.58,"1,402.69 B",4.64%,12.05%,13.15%,4.94
12M 2022,2.48 B,48.40,120.87,1.33,857.79 B,0.93%,2.39%,6.23%,1.81
12M 2023,2.48 B,-252.58,-22.96,1.86,(76.15 B),-4.99%,-14.34%,-6.09%,-1.02
12M 2024,2.48 B,-446.02,-10.83,1.55,(463.21 B),-8.73%,-33.28%,-14.46%,-1.71
