Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,108 B",(37 B),"1,071 B",432.36
12M 2009,868 B,(125 B),743 B,299.85
12M 2010,"1,165 B",(808 B),357 B,144.12
12M 2011,"1,911 B",(649 B),"1,262 B",509.41
12M 2012,422 B,(294 B),128 B,51.61
12M 2013,210 B,(165 B),45 B,18.22
12M 2014,"1,328 B",(195 B),"1,132 B",457.04
12M 2015,73 B,(531 B),(458 B),-184.80
12M 2016,"2,207 B","(1,286 B)",921 B,371.82
12M 2017,"1,113 B",(353 B),760 B,306.69
12M 2018,"1,733 B","(1,028 B)",705 B,284.54
12M 2019,"1,116 B",(810 B),306 B,123.51
12M 2020,455 B,(762 B),(307 B),-124.07
12M 2021,171 B,(490 B),(319 B),-128.76
12M 2022,"1,574 B",(602 B),972 B,392.27
12M 2023,284 B,(493 B),(209 B),-84.43
12M 2024,(722 B),(345 B),"(1,067 B)",-430.48
