Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.10 B,79.01,1.86,0.25,,2.80%,8.64%,24.77%,
12M 2009,0.10 B,132.81,1.11,0.24,,4.41%,12.90%,16.99%,
12M 2010,0.10 B,271.55,0.61,0.14,,7.68%,21.50%,25.71%,
12M 2011,0.10 B,483.41,1.37,0.35,,10.07%,28.30%,35.06%,
12M 2012,0.10 B,633.98,1.04,0.28,,7.15%,27.52%,21.45%,
12M 2013,0.10 B,906.35,9.16,2.80,,7.04%,28.68%,15.27%,
12M 2014,0.10 B,1198.91,5.09,1.96,,7.99%,27.70%,14.15%,
12M 2015,0.10 B,1170.92,6.41,2.51,,9.33%,21.45%,12.99%,
12M 2016,0.10 B,855.98,8.12,2.55,,7.07%,13.61%,11.53%,
12M 2017,0.10 B,671.97,15.14,4.54,,5.49%,9.69%,9.09%,
12M 2018,0.10 B,605.13,24.79,6.22,72.88 B,4.90%,8.04%,8.33%,
12M 2019,0.10 B,-690.54,-23.17,7.91,40.88 B,-6.33%,-10.16%,4.69%,8.72
12M 2020,0.10 B,-1043.45,-17.20,10.88,19.29 B,-10.73%,-18.11%,2.55%,3.20
12M 2021,0.10 B,-269.62,-62.03,12.23,(3.68 B),-2.55%,-4.91%,-0.68%,-0.23
12M 2022,0.10 B,88.62,163.62,4.67,77.79 B,0.78%,1.59%,9.56%,2.27
12M 2023,1.02 B,127.06,187.90,57.72,163.04 B,10.72%,18.53%,19.05%,5.78
12M 2024,1.02 B,134.78,34.72,11.89,151.23 B,10.58%,16.47%,14.83%,43.55
