Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,3 B,(0 B),2 B,23.52
12M 2009,16 B,(0 B),16 B,156.23
12M 2010,49 B,(0 B),48 B,476.46
12M 2011,87 B,(0 B),87 B,859.24
12M 2012,256 B,(0 B),256 B,2519.14
12M 2013,(463 B),(3 B),(466 B),-4585.36
12M 2014,40 B,(1 B),39 B,383.82
12M 2015,(73 B),(1 B),(73 B),-720.84
12M 2016,(35 B),(0 B),(35 B),-344.38
12M 2017,2 B,(0 B),2 B,17.72
12M 2018,8 B,(1 B),7 B,70.69
12M 2019,6 B,(0 B),6 B,54.39
12M 2020,2 B,(1 B),1 B,12.55
12M 2021,70 B,(13 B),57 B,564.76
12M 2022,(24 B),(7 B),(31 B),-302.67
12M 2023,40 B,(2 B),38 B,37.35
12M 2024,79 B,(11 B),68 B,66.87
