Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.76,0.08,0.34,3.09,0.0,0.0,0.32,0.11,2.09
12M 2009,0.83,0.18,0.24,2.92,0.0,0.0,0.15,0.08,1.92
12M 2010,0.95,0.32,0.09,2.8,0.0,0.0,-0.23,0.03,1.8
12M 2011,0.92,0.38,0.0,2.81,0.0,0.0,-0.51,0.0,1.81
12M 2012,1.29,0.71,0.0,3.85,0.0,0.0,-1.21,0.0,2.85
12M 2013,1.02,0.27,0.46,4.08,0.0,0.0,0.32,0.11,2.82
12M 2014,2.09,0.28,0.0,3.47,0.0,0.0,-0.05,0.0,1.95
12M 2015,1.06,0.22,0.06,2.3,0.0,0.0,0.03,0.03,1.3
12M 2016,1.17,0.25,0.11,1.92,0.0,0.0,0.09,0.06,0.92
12M 2017,1.19,0.26,0.1,1.77,0.0,0.0,0.08,0.06,0.77
12M 2018,1.37,0.36,0.09,1.64,0.0,0.0,0.07,0.06,0.64
12M 2019,1.63,0.4,0.1,1.6,0.0,0.0,0.08,0.06,0.6
12M 2020,1.39,0.3,0.12,1.69,0.0,0.0,0.09,0.07,0.69
12M 2021,1.7,0.39,0.05,1.93,0.0,0.0,-0.01,0.02,0.93
12M 2022,1.36,0.15,0.07,2.05,0.0,0.0,0.04,0.04,1.05
12M 2023,1.85,0.16,0.0,1.73,0.0,0.0,-0.02,0.0,0.73
12M 2024,3.18,0.52,0.0,1.56,0.0,0.0,-0.09,0.0,0.56
