Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,"(4,011 B)",(281 B),"(4,292 B)",-852.86
12M 2008,"3,117 B",(785 B),"2,331 B",462.00
12M 2009,"(1,099 B)",(340 B),"(1,439 B)",-171.47
12M 2010,"(2,963 B)",(994 B),"(3,957 B)",-470.10
12M 2011,"(8,763 B)",(675 B),"(9,438 B)",-984.65
12M 2012,"(3,178 B)",(832 B),"(4,010 B)",-418.35
12M 2013,"3,533 B",(748 B),"2,785 B",290.59
12M 2014,"5,500 B",(853 B),"4,648 B",484.91
12M 2015,"8,995 B",(890 B),"8,104 B",845.57
12M 2016,(446 B),(651 B),"(1,097 B)",-114.48
12M 2017,"3,749 B",(487 B),"3,261 B",340.25
12M 2018,"4,445 B",(476 B),"3,969 B",414.12
12M 2019,"(9,005 B)",(433 B),"(9,438 B)",-965.64
12M 2020,"17,306 B",(287 B),"17,018 B",1741.28
12M 2021,"15,173 B",(426 B),"14,747 B",1508.89
12M 2022,"(8,211 B)",(389 B),"(8,600 B)",-879.90
12M 2023,"(6,378 B)",(696 B),"(7,074 B)",-723.81
12M 2024,(28 B),(852 B),(880 B),-90.05
