Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,44 B,(172 B),(128 B),-76.57
12M 2009,51 B,(61 B),(10 B),-5.91
12M 2010,(23 B),(24 B),(48 B),-28.46
12M 2011,30 B,(598 B),(569 B),-194.40
12M 2012,109 B,(279 B),(169 B),-57.91
12M 2013,79 B,(51 B),28 B,9.55
12M 2014,354 B,(78 B),275 B,85.53
12M 2015,399 B,(373 B),26 B,8.03
12M 2016,464 B,(64 B),399 B,124.12
12M 2017,733 B,,733 B,227.87
12M 2018,279 B,,279 B,86.55
12M 2019,12 B,,12 B,3.79
12M 2020,(58 B),,(58 B),-6.28
12M 2021,(85 B),(56 B),(140 B),-15.09
12M 2022,(42 B),(17 B),(59 B),-6.32
12M 2023,78 B,(20 B),59 B,6.29
12M 2024,272 B,(53 B),218 B,23.46
