Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,219 B,(429 B),(210 B),-67.31
12M 2008,117 B,(890 B),(772 B),-247.07
12M 2009,671 B,(844 B),(173 B),-54.99
12M 2010,428 B,(501 B),(73 B),-19.30
12M 2011,932 B,(391 B),542 B,141.71
12M 2012,(169 B),"(1,028 B)","(1,196 B)",-310.60
12M 2013,(811 B),"(1,888 B)","(2,699 B)",-695.43
12M 2014,"2,129 B",(625 B),"1,505 B",384.49
12M 2015,981 B,(273 B),708 B,179.33
12M 2016,652 B,(658 B),(6 B),-1.49
12M 2017,682 B,(636 B),47 B,11.63
12M 2018,(449 B),"(1,222 B)","(1,671 B)",-416.22
12M 2019,688 B,(807 B),(119 B),-29.76
12M 2020,"1,067 B",(341 B),726 B,180.82
12M 2021,"2,945 B",(242 B),"2,703 B",673.23
12M 2022,"2,629 B",(290 B),"2,339 B",116.51
12M 2023,"3,502 B",(649 B),"2,853 B",142.15
12M 2024,"1,347 B","(1,187 B)",159 B,7.93
