Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,3.12 B,76.02,17.23,0.69,,6.78%,18.57%,40.69%,7.20
12M 2008,3.13 B,86.69,7.90,0.23,,5.56%,16.85%,21.19%,4.68
12M 2009,3.14 B,108.31,10.25,0.39,,5.61%,19.52%,19.49%,4.83
12M 2010,3.79 B,89.40,19.35,0.54,,4.42%,14.21%,14.54%,4.93
12M 2011,3.82 B,600.06,5.04,0.61,,27.60%,67.81%,17.31%,17.62
12M 2012,3.85 B,168.59,24.62,0.74,,5.51%,16.08%,14.97%,15.03
12M 2013,3.88 B,167.04,26.19,0.76,,4.43%,13.58%,10.45%,6.90
12M 2014,3.91 B,206.99,19.90,0.72,,5.48%,15.03%,12.77%,7.70
12M 2015,3.95 B,261.74,27.41,1.43,,6.80%,16.97%,14.25%,11.65
12M 2016,3.99 B,253.22,23.69,1.57,,6.38%,14.82%,11.55%,18.38
12M 2017,4.01 B,299.94,21.17,1.39,,7.14%,15.90%,10.62%,48.88
12M 2018,4.01 B,409.70,10.47,0.73,"1,227.70 B",8.25%,19.65%,8.05%,10.82
12M 2019,4.01 B,178.64,22.11,0.73,"1,422.19 B",3.35%,8.60%,8.91%,9.98
12M 2020,4.01 B,230.38,13.80,0.72,"1,634.00 B",4.95%,10.57%,9.57%,16.93
12M 2021,4.01 B,276.89,14.84,0.64,"1,859.61 B",4.73%,11.90%,10.47%,25.49
12M 2022,20.07 B,119.73,11.69,0.59,"3,522.06 B",8.84%,21.91%,20.50%,53.95
12M 2023,20.07 B,138.51,10.65,0.70,"4,013.02 B",9.19%,24.69%,21.18%,51.99
12M 2024,20.07 B,110.85,10.10,0.58,"3,068.89 B",6.72%,19.24%,13.80%,30.37
