Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.64 B,19.36,9.50,0.19,,1.93%,3.57%,16.14%,1.97
12M 2012,0.64 B,25.92,6.71,0.15,,1.97%,4.60%,10.22%,2.14
12M 2013,0.64 B,11.43,15.14,0.11,,0.66%,1.99%,19.19%,2.65
12M 2014,0.64 B,21.06,8.26,0.09,,1.15%,3.56%,9.46%,1.32
12M 2015,0.64 B,17.21,9.24,0.09,,0.92%,2.89%,17.14%,1.88
12M 2016,0.64 B,17.88,8.61,0.08,,0.89%,2.94%,14.19%,1.10
12M 2017,0.64 B,19.58,7.66,0.06,,0.91%,3.10%,20.26%,1.52
12M 2018,0.64 B,18.28,8.97,0.05,188.95 B,0.76%,2.83%,27.66%,1.82
12M 2019,0.64 B,28.85,5.16,0.04,183.26 B,1.14%,4.33%,24.58%,1.33
12M 2020,0.64 B,-119.97,-0.95,0.06,91.32 B,-4.43%,-22.26%,7.75%,0.44
12M 2021,0.64 B,-103.24,-0.91,0.04,97.94 B,-3.91%,-23.93%,6.45%,0.55
12M 2022,0.64 B,-101.27,-0.82,0.04,94.45 B,-3.96%,-30.68%,6.96%,0.83
12M 2023,0.64 B,-93.22,-1.19,0.08,77.01 B,-3.87%,-39.81%,8.38%,0.53
