Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(162 B),(8 B),(170 B),-340.01
12M 2009,(67 B),(5 B),(72 B),-115.16
12M 2010,(78 B),(1 B),(79 B),-126.03
12M 2011,(628 B),(5 B),(633 B),-177.77
12M 2012,555 B,(127 B),428 B,120.10
12M 2013,575 B,(44 B),531 B,86.26
12M 2014,"1,926 B",(46 B),"1,880 B",214.68
12M 2015,"(2,004 B)",(36 B),"(2,040 B)",-232.95
12M 2016,(562 B),(73 B),(636 B),-72.59
12M 2017,(231 B),(48 B),(279 B),-16.40
12M 2018,"(2,896 B)",(13 B),"(2,909 B)",-142.33
12M 2019,(735 B),(58 B),(792 B),-38.77
12M 2020,"(4,281 B)",(104 B),"(4,385 B)",-214.54
12M 2021,(694 B),(49 B),(743 B),-36.37
12M 2022,"(1,942 B)",(6 B),"(1,948 B)",-95.33
12M 2023,588 B,(0 B),587 B,16.71
12M 2024,"1,546 B",(50 B),"1,496 B",42.55
