Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,198 B,(331 B),(133 B),-80.30
12M 2009,270 B,(245 B),25 B,15.01
12M 2010,770 B,,335 B,201.54
12M 2011,471 B,(463 B),8 B,4.64
12M 2012,334 B,(845 B),(511 B),-307.70
12M 2013,108 B,(885 B),(777 B),-468.18
12M 2014,194 B,(642 B),(448 B),-270.03
12M 2015,255 B,(662 B),(407 B),-244.29
12M 2016,"1,228 B",(793 B),436 B,262.49
12M 2017,"1,360 B","(1,085 B)",275 B,165.90
12M 2018,"1,584 B","(1,361 B)",223 B,13.43
12M 2019,"2,373 B",(995 B),"1,378 B",83.01
12M 2020,"1,138 B",(372 B),766 B,46.17
12M 2021,"3,035 B",(7 B),"2,640 B",159.04
12M 2022,"4,095 B",(932 B),"3,163 B",190.54
12M 2023,"1,946 B","(1,820 B)",128 B,7.56
12M 2024,"5,980 B","(1,733 B)","4,247 B",255.86
