Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(12 B),(169 B),(180 B),-50.54
12M 2014,(81 B),(190 B),(272 B),-76.10
12M 2015,(73 B),(213 B),(286 B),-80.12
12M 2016,(72 B),(928 B),"(1,000 B)",-280.23
12M 2017,979 B,(762 B),217 B,60.92
12M 2018,737 B,(726 B),11 B,2.65
12M 2019,"1,715 B","(1,865 B)",(150 B),-6.86
12M 2020,"1,692 B",(730 B),962 B,43.92
12M 2021,"1,897 B","(1,574 B)",324 B,14.13
12M 2022,"7,219 B","(11,382 B)","(4,164 B)",-172.68
12M 2023,883 B,"(9,062 B)","(8,179 B)",-339.23
12M 2024,"2,409 B","(6,379 B)","(3,969 B)",-164.63
