Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2014,1.35,0.31,3.48,9.18,0.0,0.0,2.7,0.38,7.18
12M 2015,2.02,0.54,2.67,5.92,0.0,0.0,2.21,0.45,4.07
12M 2016,2.52,0.32,3.13,6.67,0.0,0.0,2.72,0.47,4.81
12M 2017,3.96,0.58,3.72,6.98,0.0,0.0,3.24,0.53,4.94
12M 2018,3.21,0.3,4.04,7.37,0.0,0.0,3.65,0.55,5.29
12M 2019,2.91,0.28,4.14,8.02,0.0,0.0,3.75,0.52,5.93
12M 2020,1.18,0.1,-17.63,-47.91,-0.0,0.0,-16.28,0.37,-53.09
12M 2021,1.2,0.09,-233.71,-660.07,-0.0,0.0,-216.49,0.35,-692.98
12M 2022,1.11,0.09,-9.58,-22.21,-0.0,0.0,-8.88,0.43,-24.72
12M 2023,1.16,0.09,-8.05,-19.47,-0.0,0.0,-7.55,0.41,-21.95
