Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,856329.75,0.00,0.00,,8.40%,77.07%,60.73%,10.41
12M 2015,0.59 B,75.77,25.14,1.11,,2.10%,12.42%,19.73%,1.59
12M 2016,0.59 B,-38.66,-12.16,0.44,,-0.95%,-6.37%,1.55%,0.21
12M 2017,0.59 B,-41.35,-7.50,0.38,,-1.03%,-7.20%,1.58%,0.33
12M 2018,0.59 B,-45.76,-5.68,0.38,6.90 B,-1.16%,-8.56%,-0.61%,-0.17
12M 2019,0.59 B,-42.16,-4.65,0.29,(0.65 B),-1.06%,-8.48%,-0.97%,-0.19
12M 2020,0.59 B,-27.45,-6.78,0.81,(29.41 B),-0.51%,24.40%,-3.45%,-0.69
12M 2021,0.59 B,106.55,2.35,0.29,250.16 B,2.06%,-1359.40%,30.07%,3.91
12M 2022,0.59 B,-214.19,-0.47,0.12,96.83 B,-4.37%,97.15%,12.15%,0.31
12M 2023,0.59 B,-31.75,-1.61,0.11,17.07 B,-0.65%,12.56%,0.81%,0.09
