Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,30 B,(5 B),25 B,4.13
12M 2012,(7 B),(4 B),(11 B),-1.89
12M 2013,38 B,(17 B),21 B,3.51
12M 2014,10 B,(17 B),(7 B),-1.15
12M 2015,(77 B),(15 B),(92 B),-15.25
12M 2016,115 B,(41 B),74 B,12.31
12M 2017,86 B,(4 B),82 B,13.63
12M 2018,31 B,(8 B),24 B,3.92
12M 2019,11 B,(6 B),5 B,0.83
12M 2020,6 B,(56 B),(51 B),-8.41
12M 2021,76 B,(18 B),58 B,9.65
12M 2022,24 B,(8 B),16 B,2.68
12M 2023,37 B,(20 B),17 B,2.79
12M 2024,(163 B),(1 B),(164 B),-27.26
