Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,6.02 B,3.98,13.57,0.84,,6.64%,9.51%,27.21%,9.02
12M 2012,6.02 B,2.82,17.73,0.78,,4.22%,6.30%,10.96%,5.69
12M 2013,6.02 B,2.66,18.80,0.77,,3.80%,5.09%,12.85%,5.49
12M 2014,6.02 B,2.40,20.83,0.64,,3.12%,4.40%,11.76%,4.00
12M 2015,6.02 B,2.58,19.38,0.57,,2.70%,4.56%,9.91%,2.40
12M 2016,6.02 B,2.08,24.04,0.60,,1.75%,3.12%,4.91%,1.09
12M 2017,6.02 B,2.94,17.01,0.58,,2.71%,4.26%,9.24%,1.85
12M 2018,6.02 B,6.43,9.80,0.63,76.75 B,5.64%,8.11%,13.54%,4.61
12M 2019,6.02 B,7.11,9.56,0.60,84.49 B,5.50%,8.32%,13.28%,5.16
12M 2020,6.02 B,7.33,7.91,0.39,97.48 B,4.87%,7.51%,13.62%,3.93
12M 2021,6.02 B,4.41,12.47,0.36,71.44 B,3.09%,4.36%,8.78%,2.33
12M 2022,6.02 B,5.59,9.30,0.32,73.48 B,3.84%,5.11%,8.72%,4.24
12M 2023,6.02 B,9.64,6.95,0.39,109.73 B,6.19%,8.16%,12.46%,6.55
12M 2024,6.02 B,3.74,13.37,0.26,62.33 B,1.98%,3.05%,6.29%,2.71
