Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(47 B),(466 B),(513 B),-50.64
12M 2009,17 B,(115 B),(98 B),-9.64
12M 2010,48 B,(61 B),(13 B),-0.94
12M 2011,2 B,(103 B),(101 B),-7.38
12M 2012,75 B,(70 B),5 B,0.36
12M 2013,123 B,(108 B),15 B,0.98
12M 2014,39 B,(745 B),(706 B),-46.36
12M 2015,149 B,(385 B),(236 B),-15.47
12M 2016,269 B,(455 B),(187 B),-12.24
12M 2017,189 B,(287 B),(98 B),-6.41
12M 2018,178 B,(505 B),(327 B),-18.48
12M 2019,372 B,(151 B),220 B,12.44
12M 2020,265 B,(86 B),179 B,10.10
12M 2021,119 B,(26 B),93 B,5.24
12M 2022,181 B,(11 B),170 B,9.62
12M 2023,133 B,(7 B),126 B,7.11
12M 2024,60 B,(19 B),41 B,2.31
