Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,4.02,4.02,2.53,3.77,0.0,0.0,2.22,0.67,2.65
12M 2009,6.51,6.51,2.71,3.88,0.0,0.0,2.68,0.7,2.75
12M 2010,15.0,15.0,0.87,1.95,0.0,0.0,0.67,0.45,0.91
12M 2011,3.15,3.15,0.77,1.9,0.0,0.0,0.45,0.4,0.86
12M 2012,1.8,1.8,0.75,2.01,0.0,0.0,0.43,0.38,0.97
12M 2013,7.46,7.46,0.48,1.69,0.0,0.0,0.15,0.29,0.54
12M 2014,3.39,3.38,0.81,2.36,0.0,0.0,0.44,0.34,0.99
12M 2015,2.53,2.51,0.69,2.62,0.0,0.0,0.35,0.26,1.21
12M 2016,3.11,3.08,1.17,2.73,0.0,0.0,0.86,0.43,1.4
12M 2017,2.73,2.69,1.29,2.83,0.0,0.0,0.95,0.46,1.48
12M 2018,2.67,2.66,0.43,1.76,0.0,0.0,0.16,0.25,0.54
12M 2019,1.69,1.68,0.52,1.95,0.0,0.0,0.3,0.27,0.72
12M 2020,1.29,1.27,0.77,2.25,0.0,0.0,0.63,0.34,0.96
12M 2021,2.11,2.09,1.1,2.54,0.0,0.0,0.72,0.43,1.24
12M 2022,0.49,0.48,2.49,4.18,0.0,0.0,2.29,0.6,2.87
12M 2023,3.74,3.65,0.14,1.2,0.0,0.0,0.07,0.12,0.17
12M 2024,3.64,3.55,0.12,1.17,0.0,0.0,0.07,0.1,0.15
