Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.00 B,1306227.05,0.00,0.00,,6.92%,23.97%,67.93%,11.14
12M 2013,0.50 B,198.72,5.94,0.58,,7.65%,17.74%,36.16%,8.16
12M 2014,0.50 B,209.38,10.55,0.82,,7.10%,16.23%,27.53%,5.55
12M 2015,0.50 B,83.84,21.37,0.66,,2.17%,6.31%,18.30%,2.50
12M 2016,0.70 B,97.61,17.14,0.65,,2.73%,5.25%,12.09%,1.83
12M 2017,0.70 B,220.35,6.63,0.34,,2.91%,10.93%,14.88%,2.65
12M 2018,0.70 B,26.12,35.34,0.17,480.01 B,0.20%,1.33%,22.72%,0.98
12M 2019,0.70 B,-1623.19,-0.35,0.10,(426.96 B),-10.88%,-497.64%,-55.49%,-0.89
12M 2020,6.43 B,-205.94,-2.14,2.35,(991.83 B),-43.31%,-480.63%,-253.29%,-3.93
12M 2021,12.68 B,-54.87,-3.83,1.78,(538.62 B),-28.06%,-64.12%,-81.29%,-8.33
12M 2022,12.68 B,-35.42,-4.43,1.92,(384.42 B),-21.26%,-69.84%,-52.33%,-13.99
12M 2023,12.68 B,-21.31,-6.38,0.73,(153.08 B),-10.36%,-72.17%,-44.48%,-10.26
12M 2024,12.68 B,-43.18,-1.99,0.34,(364.39 B),-19.46%,325.88%,-268.60%,-6.60
