Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.72 B,76.18,9.85,1.05,,16.53%,19.28%,47.10%,12.13
12M 2009,1.72 B,90.05,16.77,1.91,,15.91%,17.80%,22.33%,13.64
12M 2010,1.72 B,101.77,28.99,3.08,,14.65%,16.94%,22.03%,14.57
12M 2011,1.72 B,166.25,24.66,2.90,,19.64%,23.63%,30.69%,17.53
12M 2012,17.15 B,25.49,32.17,4.36,,22.80%,27.30%,37.58%,22.34
12M 2013,17.15 B,29.67,19.89,2.60,,20.53%,26.72%,34.75%,23.10
12M 2014,17.15 B,32.35,24.27,2.96,,18.82%,23.54%,31.41%,20.81
12M 2015,17.15 B,34.30,24.05,2.98,,18.01%,22.39%,28.61%,23.79
12M 2016,17.15 B,41.43,20.15,2.90,,19.04%,23.27%,28.42%,60.40
12M 2017,17.15 B,45.35,25.47,3.34,,17.56%,22.14%,26.56%,193.63
12M 2018,17.15 B,56.24,26.49,3.53,"1,324.37 B",16.47%,23.11%,27.22%,69.83
12M 2019,17.15 B,59.32,25.20,3.15,"1,752.37 B",15.32%,21.82%,24.94%,14.09
12M 2020,17.15 B,42.75,40.12,3.97,"1,426.24 B",10.16%,13.76%,16.18%,15.58
12M 2021,17.15 B,40.28,31.78,3.35,"1,344.61 B",9.63%,12.45%,14.22%,14.32
12M 2022,17.15 B,38.74,12.80,1.26,"1,323.66 B",9.16%,11.28%,13.45%,17.32
12M 2023,17.15 B,44.92,16.03,1.62,"1,476.23 B",9.88%,12.53%,14.80%,24.07
12M 2024,17.12 B,52.10,15.16,1.58,"1,661.36 B",10.89%,13.77%,16.27%,24.33
