Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,6.74,4.59,0.0,1.17,0.0,0.0,-0.15,0.0,0.17
12M 2009,10.6,9.29,0.0,1.12,0.0,0.0,-0.46,0.0,0.12
12M 2010,7.82,6.59,0.0,1.16,0.0,0.0,-0.36,0.0,0.14
12M 2011,5.09,3.34,0.0,1.2,0.0,0.0,-0.17,0.0,0.18
12M 2012,5.85,2.88,0.03,1.2,0.0,0.0,-0.14,0.03,0.19
12M 2013,3.98,1.44,0.05,1.3,0.0,0.0,-0.04,0.03,0.3
12M 2014,5.09,2.05,0.02,1.25,0.0,0.0,-0.14,0.02,0.25
12M 2015,5.98,2.29,0.02,1.24,0.0,0.0,-0.21,0.02,0.24
12M 2016,7.26,3.17,0.02,1.22,0.0,0.0,-0.21,0.02,0.22
12M 2017,7.02,3.16,0.02,1.26,0.0,0.0,-0.24,0.01,0.26
12M 2018,5.02,1.78,0.05,1.4,0.0,0.0,-0.14,0.03,0.4
12M 2019,5.58,2.19,0.03,1.42,0.0,0.0,-0.24,0.02,0.42
12M 2020,5.96,3.06,0.02,1.35,0.0,0.0,-0.4,0.01,0.35
12M 2021,7.19,3.91,0.02,1.29,0.0,0.0,-0.44,0.01,0.29
12M 2022,8.01,3.81,0.01,1.23,0.0,0.0,-0.35,0.01,0.22
12M 2023,7.45,3.96,0.01,1.27,0.0,0.0,-0.36,0.01,0.26
12M 2024,6.81,2.92,0.02,1.26,0.0,0.0,-0.27,0.01,0.26
