Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,129 B,,71 B,0.00
12M 2009,186 B,(53 B),133 B,77.60
12M 2010,109 B,(160 B),(50 B),63.73
12M 2011,82 B,,(104 B),47.69
12M 2012,190 B,,52 B,3.04
12M 2013,181 B,(84 B),98 B,10.57
12M 2014,435 B,(97 B),338 B,19.72
12M 2015,649 B,(130 B),519 B,0.00
12M 2016,492 B,(277 B),215 B,-16.15
12M 2017,690 B,(190 B),500 B,29.18
12M 2018,281 B,(189 B),92 B,5.36
12M 2019,"1,436 B",(176 B),"1,261 B",83.75
12M 2020,"1,539 B",(166 B),"1,372 B",80.02
12M 2021,"1,305 B",(85 B),"1,220 B",71.15
12M 2022,619 B,(107 B),511 B,29.82
12M 2023,"1,307 B",(130 B),"1,177 B",68.60
12M 2024,803 B,(198 B),604 B,35.31
