Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.08 B,54.76,3.38,0.00,,2.37%,3.52%,-0.02%,-2.19
12M 2012,0.90 B,17.93,57.78,0.00,,3.36%,3.92%,-2.16%,-32.66
12M 2013,0.90 B,18.69,90.21,0.00,,2.68%,3.92%,-1.88%,
12M 2014,0.90 B,-3.65,-489.04,179.84,,-0.45%,-0.77%,-1.52%,-1.67
12M 2015,3.15 B,-15.93,-10.73,18.72,,-7.04%,-13.30%,-3.89%,-1.93
12M 2016,3.15 B,-5.22,-28.54,8.37,,-2.58%,-4.55%,-4.63%,-3.79
12M 2017,3.15 B,9.86,13.49,7.27,,4.28%,7.92%,-2.94%,-1.33
12M 2018,3.15 B,24.32,6.58,2.65,49.11 B,9.21%,14.60%,1.24%,0.50
12M 2019,3.15 B,2.17,56.68,1.55,48.20 B,0.78%,1.16%,-0.01%,-0.01
12M 2020,3.15 B,-5.25,-22.10,1.74,25.16 B,-1.87%,-2.87%,-3.87%,-2.16
12M 2021,3.15 B,74.11,2.73,1.25,176.31 B,22.20%,28.69%,14.54%,7.16
12M 2022,3.15 B,115.03,5.65,1.95,439.21 B,30.63%,37.27%,28.28%,42.07
12M 2023,3.15 B,77.60,11.98,2.88,278.35 B,24.25%,32.81%,11.91%,15.56
12M 2024,3.15 B,10.74,67.97,2.81,172.39 B,2.63%,4.30%,0.64%,4.16
