Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.02 B,224.15,4.91,0.39,,2.60%,5.77%,12.74%,1.71
12M 2009,0.02 B,480.51,2.29,0.40,,7.40%,11.00%,7.83%,8.72
12M 2010,0.02 B,664.59,4.69,1.11,,9.36%,13.21%,9.09%,17.15
12M 2011,0.02 B,532.68,4.13,0.74,,7.19%,9.57%,9.84%,39.98
12M 2012,0.02 B,781.17,9.81,2.37,,9.64%,12.31%,8.78%,12.05
12M 2013,0.02 B,402.59,12.42,1.38,,4.36%,5.97%,4.37%,8.59
12M 2014,0.02 B,-194.38,-31.90,1.88,,-2.23%,-2.97%,-0.33%,-0.36
12M 2015,0.02 B,-664.72,-8.09,1.47,,-4.36%,-11.92%,3.51%,0.46
12M 2016,0.02 B,-2394.26,-2.26,0.81,,-10.65%,-76.16%,-40.11%,-2.03
12M 2017,0.11 B,1806.85,0.72,1.35,,71.60%,82.94%,82.10%,22.18
12M 2018,0.11 B,310.20,3.21,1.11,12.02 B,10.93%,12.40%,4.21%,536.58
12M 2019,0.42 B,70.40,4.03,1.37,4.76 B,9.21%,10.12%,1.29%,
12M 2020,0.42 B,15.84,15.40,1.01,6.66 B,1.99%,2.23%,1.87%,5803.68
12M 2021,0.42 B,55.08,21.33,4.15,10.98 B,7.53%,8.47%,3.26%,
12M 2022,0.42 B,62.76,6.21,0.96,26.81 B,7.90%,8.98%,8.49%,
12M 2023,0.42 B,44.62,8.11,1.12,17.98 B,5.57%,6.12%,5.36%,
12M 2024,0.42 B,80.47,4.95,1.10,22.03 B,9.19%,10.25%,6.27%,
