Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,0.12,0.12,3.71
12M 2016,,,,,,,,,11.63,12.18,0.07,0.07,0.11,0.11,2.36
12M 2017,,,,,,,,,20.56,25.91,0.08,0.09,0.12,0.12,2.87
12M 2018,,,,,,,,,72.58,111.16,0.1,0.08,0.11,0.11,3.26
12M 2019,,,,,,,,,77.81,116.82,0.04,0.04,0.05,0.05,4.8
12M 2020,,,,,,,,,28.8,34.16,0.01,0.01,0.01,0.01,18.12
12M 2021,,,,,,,,,-82.46,-62.0,-0.18,-0.19,-0.24,-0.24,4.45
12M 2022,,,,,,,,,-65.42,-92.8,-0.22,-0.25,-0.36,-0.36,3.26
12M 2023,,,,,,,,,-130.15,-412.76,-0.22,-0.27,-0.35,-0.35,6.85
12M 2024,,,,,,,,,-47.51,-27.78,-0.11,-0.11,-0.14,-0.14,7.53
